staff_id,department_id,first_name,last_name,position,hire_date,salary_annual,email
STF001,DEP001,Olivia,Brown,Exhibition Designer,1992-07-08,52869.94,olivia.brown.6142@museum.org
STF002,DEP001,Aigerim,Martin,Registrar,2013-10-29,64144.92,aigerim.martin.2951@museum.org
STF003,DEP001,Liam,Walker,Head of Department,2017-05-04,107729.76,liam.walker.3946@museum.org
STF004,DEP002,Aruzhan,Martin,Registrar,2010-09-08,85600.94,aruzhan.martin.7530@museum.org
STF005,DEP002,Benjamin,Smith,Security Officer,2002-11-26,89373.03,benjamin.smith.2589@museum.org
STF006,DEP002,Sophia,Suleimenova,Exhibition Designer,2016-05-10,53419.65,sophia.suleimenova.6952@museum.org
STF007,DEP002,Benjamin,Nurlybay,Conservator,1998-12-08,119940.49,benjamin.nurlybay.7917@museum.org
STF008,DEP002,Charlotte,Wright,Head of Department,2015-08-28,59101.12,charlotte.wright.4848@museum.org
STF009,DEP002,Henry,Johnson,Director,2007-10-03,51075.64,henry.johnson.9273@museum.org
STF010,DEP002,Isabella,Tlegenova,Conservator,2000-04-28,82671.17,isabella.tlegenova.5773@museum.org
STF011,DEP003,William,Young,Head of Department,2001-03-30,89387.62,william.young.2241@museum.org
STF012,DEP003,Charlotte,Brown,Conservator,2009-10-10,28169.63,charlotte.brown.5978@museum.org
STF013,DEP003,Harper,Thomas,Conservator,2004-08-27,96010.68,harper.thomas.2878@museum.org
STF014,DEP003,Oliver,Harris,Tour Guide,2006-05-31,75430.98,oliver.harris.4466@museum.org
STF015,DEP003,Liam,Lopez,Security Officer,2003-03-29,95923.14,liam.lopez.5550@museum.org
STF016,DEP004,Amelia,Nurlybay,Senior Curator,1996-04-25,96644.39,amelia.nurlybay.3697@museum.org
STF017,DEP004,Chloe,Sidorov,Head of Department,1994-01-19,100114.79,chloe.sidorov.229@museum.org
STF018,DEP004,Benjamin,Petrova,Senior Curator,2010-05-27,60015.64,benjamin.petrova.4296@museum.org
STF019,DEP004,Maria,Mitchell,Director,2006-08-31,35292.88,maria.mitchell.3831@museum.org
STF020,DEP005,Timur,Johnson,Head of Department,2015-03-09,56160.6,timur.johnson.9996@museum.org
STF021,DEP005,William,Anderson,Director,2010-10-29,111391.83,william.anderson.4952@museum.org
STF022,DEP006,Arman,White,Assistant Curator,1992-01-13,114894.85,arman.white.4987@museum.org
STF023,DEP006,Aruzhan,White,Head of Department,2000-07-13,109289.63,aruzhan.white.2223@museum.org
STF024,DEP007,Sofia,Nurlybay,Head of Department,2020-01-29,115191.17,sofia.nurlybay.8851@museum.org
STF025,DEP008,Arman,Martin,Education Specialist,2019-05-19,34407.06,arman.martin.8018@museum.org
STF026,DEP008,Oleg,Roberts,Conservator,1991-06-21,90576.66,oleg.roberts.3560@museum.org
STF027,DEP008,Dana,Suleimenova,Registrar,2006-04-09,34438.69,dana.suleimenova.6019@museum.org
STF028,DEP008,Ayan,Nelson,Curator,2007-11-11,51208.74,ayan.nelson.2002@museum.org
STF029,DEP008,Maksat,Thomas,Director,1999-07-08,85961.92,maksat.thomas.9784@museum.org
STF030,DEP008,Olivia,Taylor,Head of Department,2000-12-04,118937.99,olivia.taylor.9251@museum.org
STF031,DEP009,Elijah,Anderson,Tour Guide,1999-04-18,80706.39,elijah.anderson.3818@museum.org
STF032,DEP009,Daniel,Martin,Archivist,1990-02-16,51341.11,daniel.martin.2371@museum.org
STF033,DEP009,Harper,Petrova,Conservator,1997-10-29,35443.0,harper.petrova.423@museum.org
STF034,DEP009,Harper,Smith,Head of Department,2000-09-03,80941.03,harper.smith.259@museum.org
STF035,DEP010,Noah,Lopez,Curator,1995-09-08,95463.22,noah.lopez.8620@museum.org
STF036,DEP010,Amelia,Anderson,Head of Department,2010-02-09,98911.62,amelia.anderson.8409@museum.org
STF037,DEP010,Maria,Jackson,Security Officer,2012-08-07,46047.23,maria.jackson.711@museum.org
STF038,DEP010,Nursultan,Green,Security Officer,2018-11-10,116582.49,nursultan.green.997@museum.org
STF039,DEP011,Timur,Perez,Head of Department,2020-10-11,35256.37,timur.perez.7268@museum.org
STF040,DEP012,Sophia,Thomas,Head of Department,2017-04-15,39091.71,sophia.thomas.2068@museum.org
STF041,DEP012,Lucas,Sidorov,Deputy Director,2004-08-02,61185.92,lucas.sidorov.9788@museum.org
STF042,DEP012,Nursultan,Scott,Security Officer,2012-09-04,82515.55,nursultan.scott.1625@museum.org
STF043,DEP012,Amelia,Sidorov,Deputy Director,1999-08-24,65856.64,amelia.sidorov.3744@museum.org
STF044,DEP012,Arman,Adams,Security Officer,2007-11-20,64519.02,arman.adams.1558@museum.org
STF045,DEP012,David,Kenzhebayev,Exhibition Designer,2019-11-02,49214.53,david.kenzhebayev.2501@museum.org
STF046,DEP012,Timur,Anderson,Senior Curator,1993-10-30,33856.86,timur.anderson.1583@museum.org
STF047,DEP013,Grace,Harris,Tour Guide,1992-09-09,80714.18,grace.harris.9202@museum.org
STF048,DEP013,Dmitry,Adams,Director,1995-06-26,64026.82,dmitry.adams.6930@museum.org
STF049,DEP013,Isabella,Scott,Archivist,2004-01-07,58406.39,isabella.scott.9469@museum.org
STF050,DEP013,Alina,Allen,Head of Department,2019-06-17,70807.99,alina.allen.1774@museum.org
STF051,DEP013,Emily,Sidorov,Exhibition Designer,1995-02-26,97447.54,emily.sidorov.9407@museum.org
STF052,DEP014,William,Kenzhebayev,Tour Guide,2017-11-21,83289.46,william.kenzhebayev.9122@museum.org
STF053,DEP014,Olivia,Hill,Head of Department,1998-02-03,50960.69,olivia.hill.5063@museum.org
STF054,DEP015,Daniel,Nelson,Head of Department,1998-02-20,107636.96,daniel.nelson.9279@museum.org
STF055,DEP015,Chloe,Anderson,Assistant Curator,2023-03-29,85151.34,chloe.anderson.503@museum.org
STF056,DEP016,Mia,Ivanov,Head of Department,2006-11-16,64884.09,mia.ivanov.5586@museum.org
STF057,DEP016,Liam,Carter,Conservator,2022-05-15,55816.37,liam.carter.9300@museum.org
STF058,DEP017,Elena,Thomas,Head of Department,1996-12-24,39953.94,elena.thomas.816@museum.org
STF059,DEP017,Mia,Hill,Security Officer,2019-09-11,65281.4,mia.hill.9947@museum.org
STF060,DEP017,Dana,Roberts,Conservator,1999-09-02,96719.6,dana.roberts.1865@museum.org
STF061,DEP018,Emily,Kenzhebayev,Senior Curator,2002-09-15,89430.7,emily.kenzhebayev.9718@museum.org
STF062,DEP018,Aruzhan,Ivanov,Director,2003-11-02,29314.65,aruzhan.ivanov.6476@museum.org
STF063,DEP018,Elena,Taylor,Head of Department,1999-03-04,53634.84,elena.taylor.3461@museum.org
STF064,DEP018,Harper,Lopez,Conservator,2004-09-19,36398.51,harper.lopez.8150@museum.org
STF065,DEP019,Aigerim,Walker,Head of Department,2007-01-21,75595.32,aigerim.walker.3771@museum.org
STF066,DEP019,Alina,Sidorov,Director,2005-11-20,31847.17,alina.sidorov.694@museum.org
STF067,DEP019,Aigerim,Johnson,Security Officer,1993-06-29,106900.45,aigerim.johnson.9434@museum.org
STF068,DEP020,Aigerim,Nazarov,Education Specialist,2021-10-29,85813.46,aigerim.nazarov.4744@museum.org
STF069,DEP020,Amelia,Perez,Head of Department,2004-07-27,41327.95,amelia.perez.7539@museum.org
STF070,DEP020,Grace,Thomas,Education Specialist,1994-10-01,48115.07,grace.thomas.9649@museum.org
STF071,DEP021,Chloe,Ivanov,Senior Curator,2007-10-03,107699.82,chloe.ivanov.5563@museum.org
STF072,DEP021,William,Adams,Head of Department,1993-06-05,73495.91,william.adams.1869@museum.org
STF073,DEP021,Nursultan,Kim,Registrar,2005-09-03,58354.47,nursultan.kim.2420@museum.org
STF074,DEP021,James,Jackson,Assistant Curator,2001-06-25,43740.82,james.jackson.9870@museum.org
STF075,DEP022,Evelyn,Anderson,Head of Department,2018-03-03,71941.12,evelyn.anderson.9237@museum.org
STF076,DEP022,Maria,Suleimenova,Director,2015-04-28,86084.22,maria.suleimenova.5296@museum.org
STF077,DEP023,David,Martin,Security Officer,1993-01-23,69547.5,david.martin.4962@museum.org
STF078,DEP023,Lucas,Taylor,Head of Department,2012-10-04,32048.11,lucas.taylor.7566@museum.org
STF079,DEP023,Dana,Brown,Curator,2006-07-17,104011.18,dana.brown.1258@museum.org
STF080,DEP024,Mia,Kim,Head of Department,2010-10-04,80131.29,mia.kim.673@museum.org
STF081,DEP024,Dana,Nazarov,Director,1998-06-12,55545.04,dana.nazarov.7793@museum.org
STF082,DEP024,Alina,Martin,Curator,2010-03-18,34832.68,alina.martin.5627@museum.org
STF083,DEP025,Mia,Kim,Director,1997-09-28,28718.5,mia.kim.7173@museum.org
STF084,DEP025,Dana,Ivanov,Head of Department,2017-05-10,40080.89,dana.ivanov.6109@museum.org
STF085,DEP025,Henry,Mitchell,Education Specialist,2005-03-06,89495.28,henry.mitchell.858@museum.org
STF086,DEP026,Daniel,Anderson,Head of Department,1994-03-29,78006.51,daniel.anderson.6334@museum.org
STF087,DEP026,Henry,Lopez,Deputy Director,2019-06-15,116618.95,henry.lopez.9875@museum.org
STF088,DEP026,Evelyn,Adams,Senior Curator,2016-02-21,88043.15,evelyn.adams.5732@museum.org
STF089,DEP026,Alexander,Perez,Assistant Curator,2016-09-10,92339.23,alexander.perez.1389@museum.org
STF090,DEP026,Alexander,Sidorov,Education Specialist,2018-11-12,100207.89,alexander.sidorov.2094@museum.org
STF091,DEP027,Nursultan,Thomas,Director,2020-01-28,65223.6,nursultan.thomas.5929@museum.org
STF092,DEP027,Olivia,Carter,Head of Department,1998-02-01,115361.08,olivia.carter.5599@museum.org
STF093,DEP028,Aruzhan,Young,Registrar,1996-03-03,39719.79,aruzhan.young.4847@museum.org
STF094,DEP028,Charlotte,Kim,Tour Guide,2023-02-18,108949.81,charlotte.kim.619@museum.org
STF095,DEP028,Daniel,Harris,Head of Department,2006-11-25,39654.01,daniel.harris.2963@museum.org
STF096,DEP028,Oleg,Lee,Deputy Director,2009-08-19,29150.78,oleg.lee.5969@museum.org
STF097,DEP029,James,Suleimenova,Archivist,2002-10-13,96477.16,james.suleimenova.7356@museum.org
STF098,DEP029,William,Petrova,Registrar,2003-11-19,116731.68,william.petrova.7685@museum.org
STF099,DEP029,Oliver,Carter,Director,2015-08-03,118521.78,oliver.carter.7565@museum.org
STF100,DEP029,Henry,Mitchell,Head of Department,2013-08-29,64772.78,henry.mitchell.2656@museum.org
STF101,DEP030,Oliver,Harris,Head of Department,1992-05-04,85912.01,oliver.harris.6082@museum.org
STF102,DEP031,Dmitry,Jackson,Deputy Director,2013-02-21,105860.77,dmitry.jackson.4671@museum.org
STF103,DEP031,Mia,Lee,Conservator,2010-02-26,111004.09,mia.lee.2415@museum.org
STF104,DEP031,Aigerim,Thomas,Head of Department,2010-03-28,109039.83,aigerim.thomas.437@museum.org
STF105,DEP031,Arman,Taylor,Education Specialist,2012-07-08,60526.34,arman.taylor.6327@museum.org
STF106,DEP032,Mia,Carter,Registrar,1991-04-07,55275.06,mia.carter.1624@museum.org
STF107,DEP032,Daniel,Martin,Head of Department,1991-09-20,52253.54,daniel.martin.7741@museum.org
STF108,DEP033,Harper,Akhanov,Security Officer,2017-08-08,25498.86,harper.akhanov.1299@museum.org
STF109,DEP033,Olivia,Lopez,Head of Department,1996-09-15,77136.4,olivia.lopez.9976@museum.org
STF110,DEP034,Nursultan,Kenzhebayev,Senior Curator,2002-12-04,47575.82,nursultan.kenzhebayev.1997@museum.org
STF111,DEP034,Isabella,Wright,Education Specialist,2018-08-30,100420.42,isabella.wright.7490@museum.org
STF112,DEP034,Sophia,White,Security Officer,2016-10-07,75925.11,sophia.white.8444@museum.org
STF113,DEP034,Anna,Wright,Deputy Director,1996-06-10,52670.84,anna.wright.26@museum.org
STF114,DEP034,Oleg,Nelson,Registrar,2015-08-07,64573.92,oleg.nelson.1403@museum.org
STF115,DEP034,Nursultan,Carter,Head of Department,2013-08-06,76687.79,nursultan.carter.8317@museum.org
STF116,DEP034,Dmitry,Johnson,Education Specialist,2011-02-02,29135.77,dmitry.johnson.6339@museum.org
STF117,DEP035,Grace,Lopez,Deputy Director,1990-09-24,58923.92,grace.lopez.1107@museum.org
STF118,DEP035,Emily,Wright,Deputy Director,2019-06-23,84684.41,emily.wright.9534@museum.org
STF119,DEP035,Daniel,Harris,Curator,2005-10-21,76871.31,daniel.harris.2869@museum.org
STF120,DEP035,Maksat,Akhanov,Director,1998-03-06,102092.28,maksat.akhanov.1034@museum.org
STF121,DEP035,Maksat,Brown,Head of Department,1999-01-16,29161.6,maksat.brown.3269@museum.org
STF122,DEP035,Ava,Baker,Conservator,2013-02-13,62831.29,ava.baker.8898@museum.org
STF123,DEP035,Timur,Lopez,Curator,2023-10-16,86455.55,timur.lopez.4688@museum.org
STF124,DEP036,Emily,Taylor,Director,2004-11-21,50955.58,emily.taylor.6030@museum.org
STF125,DEP036,Aigerim,Perez,Deputy Director,2009-09-22,109990.56,aigerim.perez.6335@museum.org
STF126,DEP036,Daniel,Walker,Head of Department,2021-01-16,72264.72,daniel.walker.8508@museum.org
STF127,DEP036,Lucas,Thomas,Deputy Director,2009-01-16,32498.07,lucas.thomas.9871@museum.org
STF128,DEP036,Noah,Petrova,Conservator,2004-05-29,34746.8,noah.petrova.5373@museum.org
STF129,DEP037,Henry,Green,Security Officer,2017-01-12,93177.98,henry.green.2731@museum.org
STF130,DEP037,Dana,Nelson,Security Officer,1991-11-25,94047.37,dana.nelson.5777@museum.org
STF131,DEP037,Oleg,Kenzhebayev,Head of Department,2018-09-08,118102.59,oleg.kenzhebayev.940@museum.org
STF132,DEP038,Sophia,Perez,Exhibition Designer,2013-01-06,101104.12,sophia.perez.2622@museum.org
STF133,DEP038,Olivia,Martin,Head of Department,2020-06-01,99224.64,olivia.martin.571@museum.org
STF134,DEP039,Harper,Anderson,Registrar,2018-12-10,59801.2,harper.anderson.6273@museum.org
STF135,DEP039,Anna,Brown,Archivist,1996-11-18,89510.9,anna.brown.6078@museum.org
STF136,DEP039,Grace,Suleimenova,Head of Department,2015-09-30,38081.04,grace.suleimenova.6013@museum.org
STF137,DEP039,Chloe,Baker,Director,2002-07-03,48713.11,chloe.baker.1859@museum.org
STF138,DEP040,Olivia,Walker,Head of Department,2013-03-23,61763.8,olivia.walker.9203@museum.org
STF139,DEP040,Amelia,Lopez,Conservator,2021-07-31,67395.95,amelia.lopez.4679@museum.org
STF140,DEP040,Aruzhan,Young,Senior Curator,1996-02-02,106018.5,aruzhan.young.7407@museum.org
STF141,DEP041,Noah,Suleimenova,Head of Department,2020-08-03,116918.32,noah.suleimenova.5237@museum.org
STF142,DEP041,Emily,Anderson,Tour Guide,2014-04-27,52584.42,emily.anderson.4915@museum.org
STF143,DEP042,Liam,Walker,Head of Department,2012-10-27,46302.95,liam.walker.3293@museum.org
STF144,DEP042,Harper,Wright,Security Officer,1991-03-07,59285.17,harper.wright.9377@museum.org
STF145,DEP042,Grace,Nurlybay,Tour Guide,1995-10-28,83135.09,grace.nurlybay.1413@museum.org
STF146,DEP042,Sophia,Green,Education Specialist,2022-02-28,93292.62,sophia.green.8613@museum.org
STF147,DEP043,Arman,Roberts,Head of Department,1993-04-23,36906.04,arman.roberts.5195@museum.org
STF148,DEP044,Sophia,Suleimenova,Security Officer,2020-07-04,74149.2,sophia.suleimenova.2103@museum.org
STF149,DEP044,Dmitry,Walker,Assistant Curator,2009-05-29,72772.06,dmitry.walker.908@museum.org
STF150,DEP044,Amelia,Ivanov,Head of Department,2003-08-23,40642.42,amelia.ivanov.5287@museum.org
STF151,DEP044,William,Nelson,Tour Guide,2002-09-28,105363.7,william.nelson.4106@museum.org
STF152,DEP044,Oliver,Sidorov,Conservator,1995-08-13,84377.12,oliver.sidorov.8741@museum.org
STF153,DEP044,Mia,Kim,Director,1997-07-25,81221.8,mia.kim.9514@museum.org
STF154,DEP045,Evelyn,Lee,Director,2018-01-05,93460.11,evelyn.lee.9915@museum.org
STF155,DEP045,Daniel,Nazarov,Curator,1991-04-10,32716.17,daniel.nazarov.9450@museum.org
STF156,DEP045,Benjamin,Allen,Head of Department,2008-09-08,83720.3,benjamin.allen.497@museum.org
STF157,DEP046,Aruzhan,Petrova,Conservator,2018-10-18,115881.77,aruzhan.petrova.7913@museum.org
STF158,DEP046,James,Perez,Head of Department,2010-05-06,31932.44,james.perez.982@museum.org
STF159,DEP046,Liam,Suleimenova,Education Specialist,2011-09-21,69122.0,liam.suleimenova.5574@museum.org
STF160,DEP046,Elena,Martin,Exhibition Designer,2022-03-23,55335.06,elena.martin.5659@museum.org
STF161,DEP047,Chloe,Harris,Exhibition Designer,2013-02-06,78356.87,chloe.harris.5229@museum.org
STF162,DEP047,James,Nurlybay,Senior Curator,2001-12-31,67711.62,james.nurlybay.2309@museum.org
STF163,DEP047,Charlotte,Taylor,Head of Department,2007-03-26,107095.57,charlotte.taylor.6851@museum.org
STF164,DEP048,James,Lee,Exhibition Designer,2015-11-30,93507.2,james.lee.3111@museum.org
STF165,DEP048,Liam,Tlegenova,Head of Department,2010-12-10,72382.17,liam.tlegenova.5056@museum.org
